Kode,Kab/Kota,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,AHH_2017,AHH_2018,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,EYS_2017,EYS_2018,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,MYS_2017,MYS_2018,Pengeluaran_2010,Pengeluaran_2011,Pengeluaran_2012,Pengeluaran_2013,Pengeluaran_2014,Pengeluaran_2015,Pengeluaran_2016,Pengeluaran_2017,Pengeluaran_2018,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016,IPM_2017,IPM_2018
1100,ACEH,69.08,69.15,69.23,69.31,69.35,69.5,69.51,69.52,69.64,12.9,13.03,13.19,13.36,13.53,13.73,13.89,14.13,14.27,8.28,8.32,8.36,8.44,8.71,8.77,8.86,8.98,9.09,7 934,8 044,8 134,8 289,8 297,8 533,8 768,8 957,9 186,67.09,67.45,67.81,68.3,68.81,69.45,70,70.6,71.19
1200,SUMATERA UTARA,67.46,67.63,67.81,67.94,68.04,68.29,68.33,68.37,68.61,11.82,11.83,11.97,12.41,12.61,12.82,13,13.1,13.14,8.51,8.61,8.72,8.79,8.93,9.03,9.12,9.25,9.34,9 196,9 231,9 266,9 309,9 391,9 563,9 744,10 036,10 391,67.09,67.34,67.74,68.36,68.87,69.51,70,70.57,71.18
1300,SUMATERA BARAT,67.59,67.79,68,68.21,68.32,68.66,68.73,68.78,69.01,12.22,12.52,12.81,13.16,13.48,13.6,13.79,13.94,13.95,8.13,8.2,8.27,8.28,8.29,8.42,8.59,8.72,8.76,9 339,9 409,9 479,9 570,9 621,9 804,10 126,10 306,10 638,67.25,67.81,68.36,68.91,69.36,69.98,70.73,71.24,71.73
1400,RIAU,70.15,70.32,70.49,70.67,70.76,70.93,70.97,70.99,71.19,11.76,11.78,11.79,12.27,12.45,12.74,12.86,13.03,13.11,8.25,8.29,8.34,8.38,8.47,8.49,8.59,8.76,8.92,9 857,9 957,10 058,10 180,10 262,10 364,10 465,10 677,10 968,68.65,68.9,69.15,69.91,70.33,70.84,71.2,71.79,72.44
1500,JAMBI,69.89,70.04,70.19,70.35,70.43,70.56,70.71,70.76,70.89,11.34,11.6,11.73,12.17,12.38,12.57,12.72,12.87,12.9,7.34,7.48,7.69,7.8,7.92,7.96,8.07,8.15,8.23,8 478,8 664,8 944,9 066,9 141,9 446,9 795,9 880,10 357,65.39,66.14,66.94,67.76,68.24,68.89,69.62,69.99,70.65
1600,SUMATERA SELATAN,68.34,68.51,68.67,68.84,68.93,69.14,69.16,69.18,69.41,11.03,11.21,11.42,11.46,11.75,12.02,12.23,12.35,12.36,7.34,7.42,7.5,7.53,7.66,7.77,7.83,7.99,8,8 536,8 803,9 040,9 231,9 302,9 474,9 935,10 220,10 652,64.44,65.12,65.79,66.16,66.75,67.46,68.24,68.86,69.39
1700,BENGKULU,67.82,67.98,68.16,68.33,68.37,68.5,68.56,68.59,68.84,11.59,11.88,12.2,12.78,13.01,13.18,13.38,13.57,13.58,7.85,7.93,8.01,8.09,8.28,8.29,8.37,8.47,8.61,8 459,8 572,8 682,8 803,8 864,9 123,9 492,9 778,10 162,65.35,65.96,66.61,67.5,68.06,68.59,69.33,69.95,70.64
1800,LAMPUNG,68.91,69.12,69.33,69.55,69.66,69.9,69.94,69.95,70.18,10.88,11.04,11.37,11.9,12.24,12.25,12.35,12.46,12.61,7.26,7.28,7.3,7.32,7.48,7.56,7.63,7.79,7.82,7 964,8 118,8 273,8 415,8 476,8 729,9 156,9 413,9 858,63.71,64.2,64.87,65.73,66.42,66.95,67.65,68.25,69.02
1900,KEP. BANGKA BELITUNG,69.15,69.31,69.48,69.64,69.72,69.88,69.92,69.95,70.18,10.48,10.7,10.79,10.96,11.18,11.6,11.71,11.83,11.87,7.07,7.19,7.25,7.32,7.35,7.46,7.62,7.78,7.84,10 707,10 808,11 218,11 657,11 691,11 781,11 960,12 066,12 666,66.02,66.59,67.21,67.92,68.27,69.05,69.55,69.99,70.67
2100,KEPULAUAN RIAU,68.42,68.63,68.85,69.05,69.15,69.41,69.45,69.48,69.64,11.51,11.61,11.9,12.26,12.51,12.6,12.66,12.81,12.82,9.38,9.46,9.58,9.63,9.64,9.65,9.67,9.79,9.81,12 267,12 513,12 740,12 942,13 019,13 177,13 359,13 566,13 976,71.13,71.61,72.36,73.02,73.4,73.75,73.99,74.45,74.84
